version,np,E
v3_np1_20250506_142151,1,1.0
v3_np1_20250506_160835,1,1.0
v2_2.1_broadcast_all_np1.log,1,1.0
v4_np1,1,1.0
V3 CUDA,1,1.0
v2_2.2_scatter_halo_np1_20250506_142151.log,1,1.0
V2 2.1-broadcast-all,4,0.22132035041280645
v1_np1_20250506_160835,1,1.0
v1_np1_20250506_142151,1,1.0
V2 2.2-scatter-halo,1,1.0
V4 MPI+CUDA,1,1.0
v2_2.2_scatter_halo_np1_20250506_160835.log,1,1.0
V2 2.2-scatter-halo,2,0.8038482738521386
V4 MPI+CUDA,2,0.5054440643118094
v2_2.2_scatter_halo_np1.log,1,1.0
V2 2.1-broadcast-all,1,1.0
v4_np1_20250506_142151,1,1.0
v2_2.1_broadcast_all_np1_20250506_142151.log,1,1.0
v4_np1_20250506_160835,1,1.0
v3_np1,1,1.0
v2_2.1_broadcast_all_np1_20250506_160835.log,1,1.0
V1 Serial,1,1.0
V2 2.1-broadcast-all,2,0.4782142730692029
v1_np1,1,1.0
V2 2.2-scatter-halo,4,0.6812700015034687
V4 MPI+CUDA,4,0.18277890369233352
