version,np,n,mean_s,sd_s,ci95_s
V4 MPI+CUDA,1,10,0.5316688999999999,0.4110683231625316,0.25478278632739093
V1 Serial,1,14,0.8237857142857142,0.17661221256293014,0.09251513456228078
V2.2 ScatterHalo,2,13,0.5392383846153845,0.2658608317489743,0.1445235944289635
V2.1 BroadcastAll,1,13,0.9751078461538459,0.4074438629931829,0.22148900693802226
V2.2 ScatterHalo,4,12,0.3351286666666667,0.14112099969003603,0.07984672221616436
V4 MPI+CUDA,2,12,0.5016006666666666,0.260406391547147,0.14733878625327554
V2.1 BroadcastAll,2,13,0.961536,0.4408892025152124,0.23967010060579766
V3 CUDA,1,11,0.43482736363636365,0.15345929346003956,0.09068864710181666
V2.2 ScatterHalo,1,13,0.7780883076923076,0.2074465013665711,0.11276920271398877
V2.1 BroadcastAll,4,11,1.0655080000000001,0.46417346790591135,0.2743089901942441
V4 MPI+CUDA,4,9,0.40707099999999996,0.10450717078865927,0.06827801824859073
