Timestamp,Version,NP,StatusSymbol,StatusMessage,Success,Time_ms,Shape,First_Values
"2025-05-06T14:21:55-04:00","V1 Serial",1,"✔","✔",true,823,"13x13x256","0.0817907 0.052252 0.064187 0.0724871 0.103698"
"2025-05-06T14:21:59-04:00","V2 2.1-broadcast-all",1,"✔","✔",true,920.297,"13x13x256","44.4152 42.4612 40.6967 40.6967 40.6967"
"2025-05-06T14:22:03-04:00","V2 2.1-broadcast-all",2,"✔","✔",true,834.244,"13x13x256","44.4152 42.4612 40.6967 40.6967 40.6967"
"2025-05-06T14:22:07-04:00","V2 2.1-broadcast-all",4,"✔","✔",true,837.651,"13x13x256","44.4152 42.4612 40.6967 40.6967 40.6967"
"2025-05-06T14:22:11-04:00","V2 2.2-scatter-halo",1,"✔","✔",true,846.054,"13x13x256","44.4152 42.4612 40.6967 40.6967 40.6967"
"2025-05-06T14:22:15-04:00","V2 2.2-scatter-halo",2,"✔","✔",true,535.638,"13x13x256","29.2981 28.7552 28.2351 28.2351 28.2351"
"2025-05-06T14:22:19-04:00","V2 2.2-scatter-halo",4,"✔","✔",true,294.682,"13x13x256","29.2981 28.7552 28.2351 28.2351 28.2351"
"2025-05-06T14:22:24-04:00","V3 CUDA",1,"✔","✔",true,487.78,"13x13x256","29.2932 25.9153 23.3255 23.3255 23.3255"
"2025-05-06T14:22:33-04:00","V4 MPI+CUDA",1,"✔","✔",true,459.578,"13x13x256","29.2932 25.9153 23.3255 23.3255 23.3255"
"2025-05-06T14:22:35-04:00","V4 MPI+CUDA",2,"✔","✔",true,423.383,"8x13x256","29.2932 25.9153 23.3255 23.3255 23.3255"
"2025-05-06T14:22:37-04:00","V4 MPI+CUDA",4,"✔","✔",true,444.841,"4x13x256","29.2932 25.9153 23.3255 23.3255 23.3255"
